userId,courseId,course_name,rating
4696,214,fundamentals-of-graphic-design,5
15858,332,learning-how-to-learn,5
28123,380,negotiation-skills,4
27404,586,what-is-datascience,5
15785,579,wharton-operations,5
10884,450,python-network-data,5
39018,45,bootstrap-4,5
5437,442,python-data,5
36799,381,neural-networks-deep-learning,5
3190,529,the-science-of-well-being,5
24818,75,communication-strategies-virtual-age,5
17684,15,analytics-excel,4
32091,329,learn-korean,5
1423,554,uva-darden-getting-started-agile,5
36432,26,aulaconstructivista,5
12868,446,python-for-applied-data-science-ai,5
11805,121,data-visualization-tableau,4
38656,273,innovation-management,5
36385,445,python-databases,5
32217,55,camino-excelencia-gestion-proyectos,5
10989,473,schedule-projects,3
24297,231,getting-started-with-essay-writing,5
24609,311,introduction-to-calculus,5
22261,238,global-environmental-management,5
15971,370,motivate-people-teams,5
24845,332,learning-how-to-learn,5
24301,342,mafash,5
1120,441,python-crash-course,5
3383,381,neural-networks-deep-learning,5
40203,381,neural-networks-deep-learning,5
27673,529,the-science-of-well-being,5
3198,120,data-scientists-tools,5
19357,435,project-risk-management,5
31635,120,data-scientists-tools,5
28398,340,machine-learning-projects,5
7430,289,intro-data-science-programacion-estadistica-r,5
36780,250,grammar-punctuation,4
34747,337,machine-learning,5
9370,156,enfant-developpement,5
37715,240,global-financial-markets-instruments,5
13556,265,iiot-google-cloud-platform,5
23533,586,what-is-datascience,5
29860,508,strategic-management,5
22819,32,aws-machine-learning,5
11784,145,duke-behavioral-finance,5
30135,225,genetics-evolution,5
1595,329,learn-korean,5
18283,31,aws-fundamentals-going-cloud-native,5
2950,332,learning-how-to-learn,5
10674,337,machine-learning,5
32558,329,learn-korean,5
12476,21,aprendiendo-a-aprender,5
28867,297,introduction-blockchain-technologies,4
22586,387,norms,4
19583,120,data-scientists-tools,3
10845,341,machine-learning-with-python,5
2700,402,personal-branding,4
33443,427,professional-emails-english,5
34850,88,content-marketing,5
7762,524,technical-support-fundamentals,5
13332,332,learning-how-to-learn,5
22538,182,excel-essentials,5
19479,267,indigenous-canada,1
4929,565,web-development,3
33397,307,introduction-psychology,5
38763,450,python-network-data,5
9065,307,introduction-psychology,5
40293,450,python-network-data,5
117,57,careerdevelopment,5
14411,123,datasciencemathskills,5
36331,442,python-data,4
2973,332,learning-how-to-learn,5
3559,452,python-osnovy-programmirovaniya,5
22765,348,marketing-digital,5
10149,237,global-energy,5
625,182,excel-essentials,5
9552,381,neural-networks-deep-learning,5
2989,368,moral-politics,5
22076,450,python-network-data,5
15425,386,nlp-sequence-models,5
25916,101,covid-19-what-you-need-to-know,5
35781,328,learn-chinese,5
16793,503,sql-for-data-science,5
32220,442,python-data,5
21175,202,finanzas-personales,5
16134,439,python,5
22016,332,learning-how-to-learn,5
10895,413,positive-psychology-visionary-science,5
30575,594,writing-for-business,5
14816,123,datasciencemathskills,5
28840,241,global-sustainable-development,4
4329,249,google-machine-learning,5
35647,116,data-lakes-data-warehouses-gcp,4
31716,8,agile-atlassian-jira,5
18724,529,the-science-of-well-being,5
30548,119,data-science-methodology,4
25894,115,data-analytics-for-lean-six-sigma,5
5902,370,motivate-people-teams,5
1383,77,company-future-management,5
22564,223,gcp-infrastructure-scaling-automation,5
21788,406,physiology,5
5150,398,pap,4
23469,364,modern-art-ideas,5
23352,586,what-is-datascience,5
2628,2,accounting-analytics,5
27622,439,python,4
27388,221,gcp-infrastructure-core-services,5
27891,361,mindshift,5
32933,348,marketing-digital,5
18503,172,etudier-en-france,5
8249,138,django-database-web-apps,5
17616,199,financial-markets-global,5
32707,340,machine-learning-projects,5
18389,120,data-scientists-tools,4
15564,385,neuroscience-neuroimaging,5
1287,567,wharton-accounting,4
10665,586,what-is-datascience,5
1057,578,wharton-marketing,5
7355,105,creative-thinking-techniques-and-tools-for-success,5
31107,331,learn-to-program,4
14154,179,excel-aplicado-negocios-avanzado,4
11446,55,camino-excelencia-gestion-proyectos,4
16231,329,learn-korean,5
31021,335,linear-algebra-machine-learning,5
7754,345,manage-health-covid-19,5
6944,423,probability-intro,5
8084,115,data-analytics-for-lean-six-sigma,5
15386,328,learn-chinese,5
5399,442,python-data,4
35427,483,six-sigma-organization-advanced,4
1954,185,excel-para-negocios,5
39104,332,learning-how-to-learn,4
1275,182,excel-essentials,5
16265,119,data-science-methodology,4
11697,331,learn-to-program,5
11003,65,ciencia-computacao-python-conceitos,5
8299,257,how-things-work,5
33881,529,the-science-of-well-being,5
1959,328,learn-chinese,5
3244,207,food-beverage-management,5
27854,429,programming-fundamentals,5
13817,337,machine-learning,5
14976,442,python-data,5
11888,433,project-planning,4
975,338,machine-learning-business-professionals,5
30822,381,neural-networks-deep-learning,5
25318,211,foundations-of-mindfulness,5
23602,183,excel-intermediate-1,5
20058,523,teamwork-skills-effective-communication,4
2865,218,gcp-big-data-ml-fundamentals,5
13131,486,smart-cities,5
12005,47,bugs-101,5
21732,88,content-marketing,1
23181,101,covid-19-what-you-need-to-know,5
23207,216,game-development,5
26088,527,terrorism,5
1643,221,gcp-infrastructure-core-services,5
23815,194,finance-for-non-finance,4
20747,317,introduction-trading-machine-learning-gcp,4
30399,56,cancer,5
22077,184,excel-intermediate-2,5
21342,386,nlp-sequence-models,2
32702,524,technical-support-fundamentals,5
3150,386,nlp-sequence-models,4
31417,428,progfun1,5
10936,400,people-management,4
3843,442,python-data,5
24628,536,trunk-anatomy,5
155,565,web-development,5
28581,442,python-data,5
1190,441,python-crash-course,5
29694,292,intro-self-driving-cars,5
33381,329,learn-korean,5
16103,476,sciwrite,5
10213,291,intro-programming,5
11676,125,deep-neural-network,5
40348,332,learning-how-to-learn,5
33666,160,english-principles,5
20416,556,uva-darden-market-analytics,5
16842,448,python-functions-files-dictionaries,5
7601,377,natural-language-processing-tensorflow,2
21585,586,what-is-datascience,5
16424,220,gcp-fundamentals,4
701,439,python,5
31745,459,r-programming,2
28651,112,cybersecurity-compliance-framework-system-administration,5
30587,326,leadership-21st-century,4
10222,9,ai-for-everyone,5
38939,46,brand,5
30017,459,r-programming,1
15910,182,excel-essentials,4
36211,524,technical-support-fundamentals,1
13592,439,python,5
30933,199,financial-markets-global,3
27254,427,professional-emails-english,5
13925,279,international-law-in-action,5
14247,330,learn-speak-korean1,5
8749,459,r-programming,5
25432,188,exploring-renewable-energy,4
18327,272,initiating-planning,5
15715,132,devops-culture-and-mindset,5
26121,391,object-oriented-java,4
24085,57,careerdevelopment,5
14563,332,learning-how-to-learn,5
5601,295,introclassicalmusic,5
